group,Employment,Wage income,Federal income tax,Payroll tax (OASDI)
Zero exposure,0.2078617921558322,0.17384581685614714,0.1548095262783096,0.17936893780591406
Middle,0.531785807577526,0.508615968199915,0.49331526313972524,0.5135633294351426
Top quartile,0.26035240026664186,0.3175382149439379,0.35187521058196514,0.30706773275894345
