group,Wage income,Federal income tax,Payroll tax (OASDI)
Zero exposure,0.8363529201452108,0.744771440064609,0.8629240417182718
Middle,0.9564301283572084,0.9276578203298658,0.9657334252198393
Top quartile,1.2196477336822276,1.351534344302528,1.179431157325447
