cutoff,Wage income,Federal income tax,Payroll tax (OASDI),employment_share
0.5,1.1283985915400168,1.203688254851587,1.105746650304415,0.5111026413670207
0.6,1.1679952634341542,1.2672726898854805,1.138293549756359,0.40157136975579993
0.7,1.2034722695904252,1.324670656587959,1.1670176673446218,0.30435698663399857
0.75,1.2196477336822276,1.351534344302528,1.179431157325447,0.26035240026664186
0.9,1.334870931329224,1.5482086509873334,1.2651404718251547,0.10105935683757447
0.95,1.382241862241523,1.6348580189235074,1.295896248993398,0.05416299393095424
